Word,Pinyin,Meaning,Type,Level,Topic
公寓,gōngyù,apartment building,N,A1,People
公園,gōngyuán,park   工作 (Noun) gōngzuò : work,"N, N",A1,Places
狗,gǒu,dog,N,A1,Animals
關,guān,"to close, to shut; to turn off",VA,A1,Other
貴,guì,"to be expensive   過 (Suffix) guò : a suffix indicating completion of an action, or completion of an action as an experience   過 () guò : to pass","VS, P, VA",A1,Animals
國家,guójiā,"nation, country",N,A1,People
孩子,háizi,child,N,A1,People
海邊,hǎibiān,"seaside, beach",N,A1,People
還是,háishì,or,Conj,A1,Conjunctions
寒假,hánjià,winter vacation,N,A1,Animals
好,hǎo,"very, quite",Adv,A1,People
好,hǎo,to be good,VS,A1,Actions
好吃,hǎochī,to be fond of eating,VS,A1,Food
好像,hǎoxiàng,"to seem, to be likely, to be like   好玩(兒) hǎowán(ér) : to be interesting, to be full of fun","Adv, VS",A1,Actions
號,hào,measure word for numbers and dates,M,A1,People
號碼,hàomǎ,number,N,A1,Other
喝,hē,to drink,VA,A1,Food
和,hé,and,Conj,A1,Conjunctions
很,hěn,"very, quite",Adv,A1,People
紅色,hóngsè,"red   後(面) hòu(miàn) : back, behind   花(兒) huā(ér) : flower","N, N, N",A1,People
畫,huà,"drawings, pictures   畫(畫) huà(huà) : to draw(picture)","N, VA",A1,People
壞,huài,to be bad,VS,A1,Actions
換,huàn,to change,VA,A1,Other
黃色,huángsè,yellow,N,A1,Other
歡迎,huānyíng,to welcome   華語/華文 huáyǔ/huáwén : Chinese language,"VS, N",A1,People
回家,huíjiā,to return home,VA,A1,Places
回來,huílái,to come back,VA,A1,People
回去,huíqù,to go back,VA,A1,Actions
會,huì,"can, to be able to, to be good at, to be skillful in",VS,A1,Actions
活動,huódòng,activity,N,A1,People
火車,huǒchē,train,N,A1,Travel
幾,jǐ,"a few, several; how many",Det,A1,People
寄,jì,to mail,VA,A1,People
加,jiā,to add to,VA,A1,Other
家,jiā,"home, family",N,A1,Places
家人,jiārén,family members,N,A1,People
間,jiān,container measure word for houses or other buildings,M,A1,People
件,jiàn,"individual measure word for clothes, etc.",M,A1,Clothes
健康,jiànkāng,to be healthy,VS,A1,Actions
見面,jiànmiàn,"to meet someone, to see someone",VA,A1,People
腳,jiǎo,foot   腳踏車/自行車 jiǎotàchē/zìxíngchē : bicycle,"N, N",A1,People
叫,jiào,to be called,VA,A1,Actions
教室,jiàoshì,classroom,N,A1,Other
記得,jìdé,to remember,VS,A1,People
接,jiē,"to fetch, to pick up(phone)",VA,A1,Technology
結束,jiéshù,"to end, close, conclude",VS,A1,Other
介紹,jièshào,to introduce,VA,A1,People
今年,jīnnián,this year,N,A1,Time
今天,jīntiān,today,N,A1,Time
近,jìn,to be near,VS,A1,Actions
進步,jìnbù,to progress; to improve,VS,A1,People
進來,jìnlái,to come in,VA,A1,People
進去,jìnqù,to go in,VA,A1,Actions
九,jiǔ,nine,Det,A1,People
久,jiǔ,to be a long time,VS,A1,Actions
酒,jiǔ,wine or liquor,N,A1,People
就,jiù,"just, exactly; then, right away; (indicating immediacy)",Adv,A1,Animals
舊,jiù,"to be old, to be used",VS,A1,Actions
覺得,juédé,"to feel, to think, to consider",VS,A1,People
咖啡,kāfēi,coffee,N,A1,Food
開,kāi,"to drive, to open, to turn on",VA,A1,People
開車,kāichē,to drive a car,VA,A1,People
開始,kāishǐ,"to start, to begin",VS,A1,Actions
看,kàn,"to watch, to read, to look at",VA,A1,Actions
考試,kǎoshì,"test, exam",N,A1,Other
考試,kǎoshì,to take a test,VA,A1,Other
卡片,kǎpiàn,card,N,A1,Other
可樂,kělè,cola,N,A1,Other
可能,kěnéng,"probably, maybe",Adv,A1,Other
可是,kěshì,"but, however",Conj,A1,People
可以,kěyǐ,"can, may, be permitted",Adv,A1,People
課,kè,"subject, course, class",N,A1,Other
客廳,kètīng,living room,N,A1,People
褲子,kùzi,"trousers, pants",N,A1,Clothes
快,kuài,quickly,Adv,A1,People
快,kuài,to be fast,VS,A1,Actions
塊,kuài,partial measure word for lumps of foodstuff; individual measure word for currency,M,A1,Food
快樂,kuàilè,to be happy,VS,A1,Emotions
來,lái,to come,VA,A1,People
籃球,lánqiú,basketball,N,A1,Other
老師,lǎoshī,teacher   了1 le: indicates the completion of an action   了2 le: indicates new situation,"N, P, P",A1,Animals
累,lèi,to be tired,VS,A1,Actions
冷,lěng,to be cold   冷氣(機) lěngqì(jī) : air conditioning; air conditioner,"VS, N",A1,Actions
離,lí,"to be away from, apart from, separated from",VA,A1,Actions
離開,líkāi,to leave,VA,A1,Other
裡面,lǐmiàn,inside,N,A1,People
兩,liǎng,two,Det,A1,Numbers
六,liù,six,Det,A1,People
樓,lóu,measure word for floor or story,M,A1,People
樓上,lóushàng,upstairs,N,A1,People
樓下,lóuxià,downstairs,N,A1,People
路,lù,road,N,A1,Other
路口,lùkǒu,"crossway, junction, intersection",N,A1,People
旅行,lǚxíng,"to travel, to take a trip",VA,A1,Travel
綠色,lǜsè,green,N,A1,Other
嗎,ma,a question particle,P,A1,People
媽媽,māma,mother,N,A1,People
買,mǎi,to buy,VA,A1,Other
賣,mài,to sell,VA,A1,Other
忙,máng,to be busy,VS,A1,Travel
貓,māo,cat,N,A1,Animals
毛,máo,one-tenth of a yuan,M,A1,Numbers
每,měi,every,Det,A1,Adverbs
美國,měiguó,"USA, American",N,A1,People
沒,méi,not (have)   沒(有) méi(yǒu) : used to ask if an action has been completed,"Adv, P",A1,People
沒關係,méiguānxì,"no problem, never mind, it doesn' t matter",VS,A1,People
沒問題,méiwèntí,no problem,VS,A1,Other
妹妹,mèimei,younger sister,N,A1,People
門,mén,"door, gate",N,A1,Conjunctions
門口,ménkǒu,"entrance, doorway",N,A1,Conjunctions
麵,miàn,noodle,N,A1,Food
麵包,miànbāo,bread,N,A1,Other
明年,míngnián,next year,N,A1,Time
明天,míngtiān,tomorrow,N,A1,Time
名字,míngzì,"full name, given name",N,A1,People
拿,ná,"to bring, to carry(in one's, or with one's hand)   哪裡/兒 nǎlǐ/ér : where   那裡/兒 nàlǐ/ér : there, over there","VA, N, N",A1,People
那些,nàxiē,those,Det,A1,Other
難,nán,to be difficult   南(邊) nán(biān) : south   男孩(子/兒) nánhái(zi/ér) : boy,"VS, N, N",A1,Actions
男生,nánshēng,boy,N,A1,Other
呢,ne,a question particle/ a particle indicating the situation or state of affairs is being sustain,P,A1,Animals
能,néng,can or to be capable of,Adv,A1,Actions
你,nǐ,you,N,A1,People
你們,nǐmen,you,"plural, N",A1,People
年,nián,a year of,M,A1,Time
您,nín,polite form of address you,N,A1,Clothes
牛奶,niúnǎi,cow's milk,N,A1,Animals
女兒,nǚér,daughter   女孩(子/兒) nǚhái(zi/ér) : girl,"N, N",A1,People
女生,nǚshēng,girl,N,A1,People
跑步,pǎobù,jogging,VA,A1,People
朋友,péngyǒu,friend,N,A1,People
便宜,piányi,to be cheap,VS,A1,Actions
票,piào,ticket,N,A1,Travel
漂亮,piāoliàng,"to be beautiful, to be pretty",VS,A1,Actions
皮包,píbāo,"handbag, briefcase",N,A1,People
瓶,píng,Cointainer measure word for the contents of a bottle,M,A1,People
七,qī,seven,Det,A1,Other
騎,qí,"to ride; to drive(a bicycle, motorcycle, horse, etc.)",VA,A1,Animals
千,qiān,thousand,Det,A1,Conjunctions
錢,qián,money   前(面) qián(miàn) : infront,"N, N",A1,People
錢包,qiánbāo,"wallet, purse, pouch",N,A1,Interjections
起床,qǐchuáng,to get up,VA,A1,Other
請,qǐng,"to please, to invite",VA,A1,People
請問,qǐngwèn,"excuse me, may I ask?",-,A1,People
球,qiú,ball,N,A1,Other
秋天,qiūtiān,"autumn, fall",N,A1,Other
去,qù,to go,VA,A1,Actions
去年,qùnián,last year,N,A1,Time
熱,rè,to be hot,VS,A1,Actions
熱狗,règǒu,hot dog,N,A1,Animals
熱鬧,rènào,"to be lively, to be fun, to be bustling with noise",VS,A1,Travel
人,rén,"person, people",N,A1,Conjunctions
認識,rènshi,"to recognize, to realize",VS,A1,People
日本,rìběn,"Japan, Japanese",N,A1,Other
容易,róngyì,to be easy,VS,A1,Actions
肉,ròu,meat,N,A1,Food
三,sān,three,Det,A1,Numbers
傘,sǎn,umbrella,N,A1,Other
山,shān,mountain,N,A1,People
上,shàng,"to ascend; get on/ into(car/ train/ etc).   上(面) shàng (miàn) : above, on top of","VA, N",A1,Travel
上班,shàngbān,"to begin work, to start work, to go to work",VA,A1,Actions
商店,shāngdiàn,"shop, store",N,A1,Conjunctions
上課,shàngkè,"to go to class, to attend classs",VA,A1,Actions
上網,shàngwǎng,internet access,VA,A1,Technology
上午,shàngwǔ,"before noon, morning",N,A1,Time
少,shǎo,"few, less",VS,A1,Other
誰,shéi,"who, whom",N,A1,Other
生病,shēngbìng,"to become ill, to be sick",VS,A1,Actions
生日,shēngrì,birthday,N,A1,Time
身體,shēntǐ,body,N,A1,Other
什麼,shénme,what,Det,A1,Clothes
十,shí,ten,Det,A1,Other
時候,shíhòu,time,N,A1,People
時間,shíjiān,time,N,A1,People
時鐘,shízhōng,clock,N,A1,Other
是,shì,"to be(am, are, is) (SHI)",-,A1,Actions
收到,shōudào,"to receive, get, obtain",VA,A1,People
手,shǒu,hand,N,A1,Conjunctions
手機,shǒujī,cell phone; mobile phone,N,A1,Technology
書,shū,book,N,A1,Other
書包,shūbāo,school-bag,N,A1,Places
舒服,shūfú,to be comfortable,VS,A1,Actions
暑假,shǔjià,summer vacation,N,A1,Animals
樹,shù,tree,N,A1,Other
雙,shuāng,measure word for two things of the same kind to be used together,M,A1,Actions
水,shuǐ,water,N,A1,Food
水果,shuǐguǒ,fruit,N,A1,Food
睡覺,shuìjiào,to sleep,VA,A1,Other
說,shuō,"to speak, to say",VA,A1,Actions
說話,shuōhuà,"to speak, to say, to talk",VA,A1,Actions
四,sì,four,Det,A1,Numbers
宿舍,sùshè,dormitory,N,A1,People
歲,suì,measure word for the age of people or animals,M,A1,Animals
算,suàn,"to calculate, to count",VA,A1,Other
送,sòng,"to escort, to deliver, to send off, to present",VA,A1,People
所以,suǒyǐ,"therefore, so   他/她 tā/tā : he, she   他們/她們 tāmen/tāmen : they, them","Conj, N, N",A1,People
太,tài,too,Adv,A1,Adverbs
太太,tàitài,"Mrs, wife",N,A1,People
糖,táng,"candy, sugar",N,A1,Conjunctions
特別,tèbié,to be special,VS,A1,Actions
踢,tī,to kick,VA,A1,People
天,tiān,day,M,A1,Time
天,tiān,day,N,A1,Time
天氣,tiānqì,weather,N,A1,Food
跳舞,tiàowǔ,to dance,VA,A1,Other
聽,tīng,to listen,VA,A1,Actions
痛,tòng,to be painful,VS,A1,Actions
同學,tóngxué,classmate,N,A1,Other
頭,tóu,head,N,A1,People
圖片,túpiàn,picture,N,A1,People
圖書館,túshūguǎn,library,N,A1,Places
外面,wàimiàn,outside,N,A1,People
完,wán,"to finish, to complete(something)   玩(兒) wán(ér) : to play, to enjoy","VS, VA",A1,People
碗,wǎn,bowl,N,A1,Other
碗,wǎn,measure word for servings of food,M,A1,Food
晚安,wǎnān,"good night   晚餐/晚飯 wǎncān/wǎnfàn : dinner, supper","VS, N",A1,Time
晚上,wǎnshàng,"evening, night",N,A1,Time
往,wǎng,to go toward,Prep,A1,Actions
網球,wǎngqiú,"tennis, tennis ball",N,A1,People
網站,wǎngzhàn,website(s),N,A1,People
忘,wàng,to forget,VS,A1,Conjunctions
喂,wéi,"a common telephone or intercom greeting ""hello""",VS,A1,Technology
位,wèi,individual measure word for people,M,A1,People
為什麼,wèishénme,why,Adv,A1,Other
問,wèn,to ask,VA,A1,Other
問題,wèntí,problem/ question,N,A1,People
我,wǒ,I,N,A1,People
我們,wǒmen,"we, us",N,A1,People
五,wǔ,five   午餐/午飯 wǔcān/wǔfàn : lunch,"Det, N",A1,People
洗,xǐ,to wash,VA,A1,Other
下,xià,to descend; get off/ out of (car/ train/ etc.)   西(邊) xī(biān) : west   下(面) xià(miàn) : below,"VA, N, N",A1,Travel
下班,xiàbān,"to get off from work, to go off work",VA,A1,Actions
下課,xiàkè,"to get out of class, end of class",VS,A1,Other
夏天,xiàtiān,"summer, summertime",N,A1,People
下午,xiàwǔ,afternoon,N,A1,Time
下雨,xiàyǔ,to rain,VA,A1,People
先,xiān,"first, in advance, before",Adv,A1,People
先生,xiānshēng,"mister, Mr, gentleman, sir, husband",N,A1,People
現在,xiànzài,"now, right now",N,A1,People
想,xiǎng,"to think, to miss",VA,A1,People
像,xiàng,"to be alike, to be like; to resemble",VA,A1,Actions
小,xiǎo,to be small   小孩(子/兒) xiǎohái(zi/ér) : child,"VS, N",A1,Actions
小姐,xiǎojiě,Miss,N,A1,People
小時,xiǎoshí,hour,N,A1,Other
小心,xiǎoxīn,to be careful,VS,A1,Actions
鞋子,xiézi,shoes,N,A1,Clothes
寫,xiě,to write,VA,A1,Actions
寫字,xiězì,to write,VA,A1,Actions
謝謝,xièxie,"to thanks, to thank you",VS,A1,People
喜歡,xǐhuān,to like   洗手間/廁所 xǐshǒujiān/cèsuǒ : toilet,"VS, N",A1,People
洗衣機,xǐyījī,clothes washing machine,N,A1,Clothes
洗澡,xǐzǎo,to take a bath or shower,VA,A1,People
新,xīn,to be new,VS,A1,Actions
新年,xīnnián,new year,N,A1,Time
信,xìn,"letter, mail",N,A1,People
信封,xìnfēng,envelope,N,A1,Other
星期,xīngqī,week   星期天/星期日 xīngqītiān/xīngqīrì : Sunday,"N, N",A1,Time
行,xíng,"to be OK, to be permitted",VS,A1,Actions
姓,xìng,"surname, family name",VA,A1,People
休息,xiūxí,to rest,VA,A1,Other
學,xué,to study,VA,A1,Other
學生,xuéshēng,student,N,A1,People
學校,xuéxiào,school,N,A1,Places
眼睛,yǎnjīng,eyes,N,A1,Other
要,yào,to want,VA,A1,Other
藥,yào,medicine,N,A1,People
也,yě,also,Adv,A1,Conjunctions
一,yī,one,Det,A1,Numbers
醫生,yīshēng,doctor,N,A1,Conjunctions
一點兒,yìdiǎnér,some,Det,A1,People
一定,yídìng,"certainly, indeed, surely",Adv,A1,People
衣服,yīfú,"clothes, clothing",N,A1,Clothes
醫院,yīyuàn,hospital,N,A1,Places
一共,yígòng,altogether,Adv,A1,People
以後,yǐhòu,"after, afterwards; later",N,A1,Other
已經,yǐjīng,already,Adv,A1,Other
以前,yǐqián,before; previously,N,A1,People
椅子,yǐzi,chair,N,A1,People
一起,yìqǐ,together,Adv,A1,People
一些,yìxiē,some,Det,A1,People
一樣,yíyàng,"to be the same, identical",VS,A1,Actions
一直,yìzhí,"straight; constantly, continuously",Adv,A1,People
意思,yìsī,"meaning, idea, definition",N,A1,People
銀行,yínháng,bank,N,A1,Places
因為,yīnwèi,because,Conj,A1,Conjunctions
音樂,yīnyuè,music,N,A1,People
英國,yīngguó,"UK, United Kingdom",N,A1,People
英文,yīngwén,English language,N,A1,People
郵局,yóujú,post office,N,A1,Places
郵票,yóupiào,postage stamp,N,A1,Other
游泳,yóuyǒng,to swim,VA,A1,People
游泳池,yóuyǒngchí,swimming pool,N,A1,People
有,yǒu,"to have; there is, there are   有點(兒) yǒudiǎn(ér) : somewhat, rather, a bit   有空(兒) yǒukòng(ér) : to have free time, to be free","VA, Adv, VS",A1,Clothes
有時候,yǒushíhòu,"sometimes, now and then",Adv,A1,People
有意思,yǒuyìsī,to be interesting,VS,A1,Actions
又,yòu,again   右(邊) yòu(biān) : right(side),"Adv, N",A1,People
用,yòng,to use   魚(兒) yú(ér) : fish,"VA, N",A1,Animals
元,yuán,standard monetary unit in China,M,A1,People
遠,yuǎn,to be far from,VS,A1,Actions
月,yuè,month,N,A1,Time
運動,yùndòng,"sport, exercise",N,A1,People
運動,yùndòng,to exercise,VA,A1,People
雨天,yǔtiān,rainy day,N,A1,Time
再,zài,"again, then",Adv,A1,People
在,zài,indicating an action in progress,Adv,A1,Animals
在,zài,"in, at, on, etc.",Prep,A1,People
再見,zàijiàn,Good-bye,VA,A1,Other
早,zǎo,to be early   早餐/早飯 zǎocān/zǎofàn : breakfast,"VS, N",A1,Actions
早上,zǎoshàng,morning,N,A1,Time
怎麼,zěnme,how,Adv,A1,Other
怎麼辦,zěnmebàn,what now ?,-,A1,Clothes
怎麼了,zěnmele,what's wrong?,-,A1,Clothes
怎麼樣,zěnmeyàng,how about...? how's everything ?,-,A1,People
站,zhàn,"(train, bus) station",N,A1,Travel
站,zhàn,to stand,VA,A1,Conjunctions
張,zhāng,"individual measure word for flat things, or things with a surface",M,A1,People
找,zhǎo,to search out; to find,VA,A1,People
找到,zhǎodào,to have found,VA,A1,Actions
照片,zhàopiàn,"photo, picture",N,A1,People
照相,zhàoxiàng,to take picture/ photograph,VA,A1,People
照相機,zhàoxiàngjī,camera   這裡/兒 zhèlǐ/ér : here,"N, N",A1,Technology
這些,zhèxiē,these,Det,A1,People
紙,zhǐ,paper,N,A1,Other
枝,zhī,individual measure word for rod-shaped article,M,A1,People
隻,zhī,individual measure word for insects or animals,M,A1,Animals
知道,zhīdào,to know,VS,A1,Other
中國,zhōngguó,"China, Chinese",N,A1,People
中文,zhōngwén,Chinese language,N,A1,People
中午,zhōngwǔ,noon,N,A1,Other
重要,zhòngyào,"to be important, to be vital",VS,A1,Actions
週末,zhōumò,weekend,N,A1,Time
住,zhù,"to stay, to live   桌(子) zhuō(zi) : table","VA, N",A1,People
自己,zìjǐ,"oneself, by oneself   姊姊/姐姐 zǐzi/jiějie: elder sister","N, N",A1,People
走,zǒu,to walk,VA,A1,Actions
走路,zǒulù,to walk(in the road or street),VA,A1,Actions
足球,zúqiú,"football, soccer",N,A1,Conjunctions
最,zuì,"the most, -est",Adv,A1,People
最近,zuìjìn,"recently, lately",Adv,A1,Other
昨天,zuótiān,yesterday   左(邊) zuǒ(biān) : left(side),"N, N",A1,Time
坐,zuò,to sit; travel by(plane/ etc.),VA,A1,Travel
做,zuò,"to do, to make",VA,A1,Actions
做飯,zuòfàn,to cook food,VA,A1,Food
做完,zuòwán,done,VA,A1,Numbers
阿姨,āyí,"one's mother's sister, auntie; address to woman of similar age as parents",N,A2,Clothes
矮,ǎi,"to be short(of stature), low",VS,A2,Actions
安全,ānquán,"to be safe, secure",VS,A2,Actions
白,bái,to be white,VS,A2,Actions
辦法,bànfǎ,"method, way of doing something",N,A2,People
棒,bàng,"to be good; fine; excellent, great!",VS,A2,Food
幫忙,bāngmáng,to help someone do something,VA,A2,People
包,bāo,"collective measure word for the things wrapped, tied up or fixed in bundles",M,A2,People
抱,bào,"to hug, to embrace, to hold or carry in one's arms",VA,A2,People
必須,bìxū,must   邊(兒) biān(ér): side,"Adv, N",A2,People
遍,biàn,measure word for the course of an action from the beginning to the end,M,A2,People
錶,biǎo,watch,N,A2,Other
別,bié,don't,Adv,A2,Other
別人,biérén,other people,N,A2,People
餅乾,bǐnggān,"biscuit, cracker, cookie",N,A2,People
冰箱,bīngxiāng,refrigerator,N,A2,People
病,bìng,"illness, disease",N,A2,People
病人,bìngrén,patient,N,A2,People
不錯,búcuò,"to be not bad, pretty good",VS,A2,Actions
不但,búdàn,not only,Conj,A2,Adverbs
不一定,bùyīdìng,"uncertain, not for sure, not necessarily",Adv,A2,People
不用,búyòng,"need not, don't have to",Adv,A2,Adverbs
擦,cā,"to rub, to wipe, to clean",VA,A2,People
猜,cāi,"to guess, suspect",VA,A2,Other
才,cái,"not until, only then, only, merely",Adv,A2,People
菜單,càidān,menu,N,A2,People
餐桌,cānzhuō,dining table,N,A2,People
草,cǎo,grass,N,A2,Other
草地,cǎodì,lawn   叉(子) chā(zi): fork   超級市場/超市 chāojíshìchǎng/chāoshì : supermarket,"N, N, N",A2,People
城市,chéngshì,city,N,A2,People
襯衫,chènshān,a dress shirt or a collared blouse with buttons,N,A2,Clothes
遲到,chídào,to be late/ arrive late,VS,A2,Actions
窗戶,chuānghù,window,N,A2,People
吹,chuī,"blow, puff",VA,A2,Other
聰明,cōngmíng,to be intelligent,VS,A2,Actions
從前,cóngqián,"formerly, in the past, used to",N,A2,People
帶,dài,to bring,VA,A2,People
戴,dài,"to wear(hat,watch, jewelry etc.)",VA,A2,Clothes
袋子,dàizi,"bag, sack",N,A2,Other
蛋,dàn,egg,N,A2,Other
但是,dànshì,"but, still, however   刀(子) dāo(zi): knife, sword, blade","Conj, N",A2,People
倒,dào,"to pour, to dump out",VA,A2,Other
打掃,dǎsǎo,"to sweep, to clean",VA,A2,People
打算,dǎsuàn,to plan,VA,A2,Other
大聲,dàshēng,to be loud,VS,A2,Actions
大衣,dàyī,"overcoat, topcoat",N,A2,Clothes
德國,déguó,"Germany, German",N,A2,People
低,dī,to be low,VS,A2,Actions
店,diàn,"store, shop",N,A2,Conjunctions
電燈,diàndēng,electric lamp/ light   點(兒) diǎn (ér): partial measure word for a small quantity of things   點(兒) diǎn (ér): dot,"N, M, N",A2,People
點菜,diǎncài,to order food,VA,A2,Food
點心,diǎnxīn,"a snack, light refreshment",N,A2,People
掉,diào,"to fall, to drop, to lose",VS,A2,Other
動,dòng,to move; to be moved,VA,A2,Actions
動物,dòngwù,animal,N,A2,Animals
動物園,dòngwùyuán,zoo,N,A2,Other
讀,dú,(1)to read; to go to; (2)attend school or college,VA,A2,Actions
讀書,dúshū,"to study, to read",VA,A2,Actions
短,duǎn,to be short,VS,A2,Actions
朵,duǒ,Individual measure word for cloudand flowers,M,A2,People
耳朵,ěrduō,ear,N,A2,Other
法國,fǎguó,"France, French",N,A2,Other
飯店,fàndiàn,"hotel, restaurant",N,A2,Travel
方法,fāngfǎ,"method, way, means",N,A2,People
放假,fàngjià,"to have a holiday, vacation",VS,A2,Animals
放下,fàngxià,to lay down; to put down; to let sth down; to lower; to set down,VA,A2,People
